Entry,Model,X1,X2,X3,X4,N,Collinearity,Identifiable,Timepoints,log.col
Berenstecher2021,2pp,1,0,1,,2,1.3,TRUE,6,0.113943352
Berenstecher2021,2pp,0,1,1,,2,3.1,TRUE,6,0.491361694
Berenstecher2021,2pp,1,1,1,,3,4.4,TRUE,6,0.643452676
Berenstecher2021,2ps,1,1,0,0,2,2.2,TRUE,6,0.342422681
Berenstecher2021,2ps,1,0,1,0,2,5.2,TRUE,6,0.716003344
Berenstecher2021,2ps,1,0,0,1,2,5.2,TRUE,6,0.716003344
Berenstecher2021,2ps,0,1,1,0,2,3.5,TRUE,6,0.544068044
Berenstecher2021,2ps,0,1,0,1,2,3.5,TRUE,6,0.544068044
Berenstecher2021,2ps,0,0,1,1,2,803684.6,FALSE,6,5.905085647
Berenstecher2021,2ps,1,1,1,0,3,10.7,TRUE,6,1.029383778
Berenstecher2021,2ps,1,1,0,1,3,10.7,TRUE,6,1.029383778
Berenstecher2021,2ps,1,0,1,1,3,2800987.5,FALSE,6,6.447311171
Berenstecher2021,2ps,0,1,1,1,3,966662.8,FALSE,6,5.985275006
Berenstecher2021,2ps,1,1,1,1,4,6100495.2,FALSE,6,6.78536509
Bernaschini2019,2pp,1,1,0,,2,1.5,TRUE,4,0.176091259
Bernaschini2019,2pp,1,0,1,,2,2.2,TRUE,4,0.342422681
Bernaschini2019,2pp,0,1,1,,2,4.6,TRUE,4,0.662757832
Bernaschini2019,2pp,1,1,1,,3,21,FALSE,4,1.322219295
Bernaschini2019,2ps,1,1,0,0,2,3.6,TRUE,4,0.556302501
Bernaschini2019,2ps,1,0,1,0,2,8.2,TRUE,4,0.913813852
Bernaschini2019,2ps,1,0,0,1,2,8.2,TRUE,4,0.913813852
Bernaschini2019,2ps,0,1,1,0,2,6.4,TRUE,4,0.806179974
Bernaschini2019,2ps,0,1,0,1,2,6.4,TRUE,4,0.806179974
Bernaschini2019,2ps,0,0,1,1,2,3522301.9,FALSE,4,6.546826577
Bernaschini2019,2ps,1,1,1,0,3,106.1,FALSE,4,2.025715384
Bernaschini2019,2ps,1,1,0,1,3,106.1,FALSE,4,2.025715384
Bernaschini2019,2ps,1,0,1,1,3,10213237.8,FALSE,4,7.009163444
Bernaschini2019,2ps,0,1,1,1,3,15374455.4,FALSE,4,7.186799741
Bernaschini2019,2ps,1,1,1,1,4,80666108.6,FALSE,4,7.906691107
BernhardReversat1993,2pp,1,1,0,,2,2.6,TRUE,7,0.414973348
BernhardReversat1993,2pp,1,0,1,,2,4.1,TRUE,7,0.612783857
BernhardReversat1993,2pp,0,1,1,,2,6.9,TRUE,7,0.838849091
BernhardReversat1993,2pp,1,1,1,,3,65.2,FALSE,7,1.814247596
BernhardReversat1993,2ps,1,1,0,0,2,6.3,TRUE,7,0.799340549
BernhardReversat1993,2ps,1,0,1,0,2,15.1,TRUE,7,1.178976947
BernhardReversat1993,2ps,1,0,0,1,2,15.1,TRUE,7,1.178976947
BernhardReversat1993,2ps,0,1,1,0,2,10.9,TRUE,7,1.037426498
BernhardReversat1993,2ps,0,1,0,1,2,10.9,TRUE,7,1.037426498
BernhardReversat1993,2ps,0,0,1,1,2,3356492.3,FALSE,7,6.525885655
BernhardReversat1993,2ps,1,1,1,0,3,314.9,FALSE,7,2.498172661
BernhardReversat1993,2ps,1,1,0,1,3,314.9,FALSE,7,2.498172661
BernhardReversat1993,2ps,1,0,1,1,3,13246854.1,FALSE,7,7.122112753
BernhardReversat1993,2ps,0,1,1,1,3,15950768.9,FALSE,7,7.202781623
BernhardReversat1993,2ps,1,1,1,1,4,18925617.6,FALSE,7,7.277050061
Bhatt1985,2pp,1,1,0,,2,2.7,TRUE,10,0.431363764
Bhatt1985,2pp,1,0,1,,2,4,TRUE,10,0.602059991
Bhatt1985,2pp,0,1,1,,2,7.8,TRUE,10,0.892094603
Bhatt1985,2pp,1,1,1,,3,50.5,FALSE,10,1.703291378
Bhatt1985,2ps,1,1,0,0,2,6.8,TRUE,10,0.832508913
Bhatt1985,2ps,1,0,1,0,2,15.8,TRUE,10,1.198657087
Bhatt1985,2ps,1,0,0,1,2,15.8,TRUE,10,1.198657087
Bhatt1985,2ps,0,1,1,0,2,11.9,TRUE,10,1.075546961
Bhatt1985,2ps,0,1,0,1,2,11.9,TRUE,10,1.075546961
Bhatt1985,2ps,0,0,1,1,2,3120498.8,FALSE,10,6.49422402
Bhatt1985,2ps,1,1,1,0,3,240.4,FALSE,10,2.380934463
Bhatt1985,2ps,1,1,0,1,3,240.4,FALSE,10,2.380934463
Bhatt1985,2ps,1,0,1,1,3,15269934,FALSE,10,7.18383716
Bhatt1985,2ps,0,1,1,1,3,15085497.3,FALSE,10,7.178559631
Bhatt1985,2ps,1,1,1,1,4,15662481.2,FALSE,10,7.194860563
Bosco2016,2pp,1,1,0,,2,1.2,TRUE,6,0.079181246
Bosco2016,2pp,1,0,1,,2,1.6,TRUE,6,0.204119983
Bosco2016,2pp,0,1,1,,2,4,TRUE,6,0.602059991
Bosco2016,2pp,1,1,1,,3,8.6,TRUE,6,0.934498451
Bosco2016,2ps,1,1,0,0,2,2.8,TRUE,6,0.447158031
Bosco2016,2ps,1,0,1,0,2,6.2,TRUE,6,0.792391689
Bosco2016,2ps,1,0,0,1,2,6.2,TRUE,6,0.792391689
Bosco2016,2ps,0,1,1,0,2,5.1,TRUE,6,0.707570176
Bosco2016,2ps,0,1,0,1,2,5.1,TRUE,6,0.707570176
Bosco2016,2ps,0,0,1,1,2,5139462.4,FALSE,6,6.710917693
Bosco2016,2ps,1,1,1,0,3,32.7,FALSE,6,1.514547753
Bosco2016,2ps,1,1,0,1,3,32.7,FALSE,6,1.514547753
Bosco2016,2ps,1,0,1,1,3,7229361.4,FALSE,6,6.859099936
Bosco2016,2ps,0,1,1,1,3,5947511.1,FALSE,6,6.774335261
Bosco2016,2ps,1,1,1,1,4,13834411.1,FALSE,6,7.140960677
Brandt2007,2pp,1,1,0,,2,1.1,TRUE,7,0.041392685
Brandt2007,2pp,1,0,1,,2,1.3,TRUE,7,0.113943352
Brandt2007,2pp,0,1,1,,2,3.3,TRUE,7,0.51851394
Brandt2007,2pp,1,1,1,,3,4.8,TRUE,7,0.681241237
Brandt2007,2ps,1,1,0,0,2,2.4,TRUE,7,0.380211242
Brandt2007,2ps,1,0,1,0,2,6.4,TRUE,7,0.806179974
Brandt2007,2ps,1,0,0,1,2,6.4,TRUE,7,0.806179974
Brandt2007,2ps,0,1,1,0,2,3.6,TRUE,7,0.556302501
Brandt2007,2ps,0,1,0,1,2,3.6,TRUE,7,0.556302501
Brandt2007,2ps,0,0,1,1,2,2278479.6,FALSE,7,6.357645145
Brandt2007,2ps,1,1,1,0,3,13.7,TRUE,7,1.136720567
Brandt2007,2ps,1,1,0,1,3,13.7,TRUE,7,1.136720567
Brandt2007,2ps,1,0,1,1,3,4151499.1,FALSE,7,6.618204948
Brandt2007,2ps,0,1,1,1,3,2425813,FALSE,7,6.384857319
Brandt2007,2ps,1,1,1,1,4,18729638.3,FALSE,7,7.272529391
Brandt2010,2pp,1,1,0,,2,1.1,TRUE,5,0.041392685
Brandt2010,2pp,1,0,1,,2,1.5,TRUE,5,0.176091259
Brandt2010,2pp,0,1,1,,2,2.8,TRUE,5,0.447158031
Brandt2010,2pp,1,1,1,,3,4.4,TRUE,5,0.643452676
Brandt2010,2ps,1,1,0,0,2,2,TRUE,5,0.301029996
Brandt2010,2ps,1,0,1,0,2,4.9,TRUE,5,0.69019608
Brandt2010,2ps,1,0,0,1,2,4.9,TRUE,5,0.69019608
Brandt2010,2ps,0,1,1,0,2,3.2,TRUE,5,0.505149978
Brandt2010,2ps,0,1,0,1,2,3.2,TRUE,5,0.505149978
Brandt2010,2ps,0,0,1,1,2,168588.9,FALSE,5,5.226828977
Brandt2010,2ps,1,1,1,0,3,14,TRUE,5,1.146128036
Brandt2010,2ps,1,1,0,1,3,14,TRUE,5,1.146128036
Brandt2010,2ps,1,0,1,1,3,386720,FALSE,5,5.587396633
Brandt2010,2ps,0,1,1,1,3,217179.8,FALSE,5,5.336819429
Brandt2010,2ps,1,1,1,1,4,611227.2,FALSE,5,5.786202672
